open_ts,close_ts,side,entry,exit,sl,tp,qty,pnl,r_realised,duration_bars,exit_reason
2026-03-12 18:15:00+00:00,2026-03-12 20:30:00+00:00,SELL,5111.2001953125,5074.913376404583,5129.343604766458,5074.913376404583,110.23286472563629,4000.0000000001005,2.00000000000005,9,TP
2026-03-12 20:30:00+00:00,2026-03-12 22:15:00+00:00,SELL,5077.0,5095.865092363562,5095.865092363562,5039.269815272875,110.25655002980503,-2080.0000000000023,-1.0,3,SL
2026-03-13 01:30:00+00:00,2026-03-13 02:00:00+00:00,SELL,5115.39990234375,5129.8852661936835,5129.8852661936835,5086.429174643883,140.72135302347695,-2038.4000000000021,-1.0,2,SL
2026-03-13 02:15:00+00:00,2026-03-13 06:15:00+00:00,SELL,5126.2001953125,5096.742547736693,5140.929019100404,5096.742547736693,135.62739488000224,3995.2639999998805,1.9999999999999383,16,TP
2026-03-13 06:15:00+00:00,2026-03-13 08:00:00+00:00,SELL,5099.10009765625,5073.468596319461,5111.915848324645,5073.468596319461,162.10812255605737,4155.074559999999,2.0,7,TP
2026-03-13 08:00:00+00:00,2026-03-13 09:00:00+00:00,SELL,5082.5,5098.029922231823,5098.029922231823,5051.440155536356,139.1274688274096,-2160.638771199999,-1.0,4,SL
2026-03-13 09:15:00+00:00,2026-03-13 12:00:00+00:00,SELL,5096.60009765625,5113.173153359931,5113.173153359931,5063.453986248887,127.76316170262186,-2117.4259957759996,-1.0,11,SL
2026-03-13 12:15:00+00:00,2026-03-13 14:30:00+00:00,SELL,5119.60009765625,5087.692214183558,5135.554039392596,5087.692214183558,130.06675780525782,4150.154951721077,2.000000000000057,9,TP
2026-03-13 14:30:00+00:00,2026-03-13 14:45:00+00:00,SELL,5084.5,5047.5587048010775,5102.970647599462,5047.5587048010775,116.83838172289072,4316.161149789696,1.9999999999999507,1,TP
2026-03-13 14:45:00+00:00,2026-03-13 15:00:00+00:00,SELL,5045.7998046875,5067.793998384767,5067.793998384767,5001.8114172929645,102.0452865325795,-2244.403797890695,-1.0,1,SL
2026-03-13 15:30:00+00:00,2026-03-15 23:15:00+00:00,SELL,5051.89990234375,5001.874545244905,5076.912580893173,5001.874545244905,87.93603282378623,4399.031443865682,1.9999999999999636,27,TP
2026-03-15 23:15:00+00:00,2026-03-16 00:00:00+00:00,SELL,4992.7998046875,5016.81860272105,5016.81860272105,4944.7622086204,95.237752847371,-2287.4963508101946,-1.0,3,SL
