ts,equity
2026-03-12 13:00:00+00:00,100000.0
2026-03-12 13:15:00+00:00,100000.0
2026-03-12 13:30:00+00:00,100000.0
2026-03-12 13:45:00+00:00,100000.0
2026-03-12 14:00:00+00:00,100000.0
2026-03-12 14:15:00+00:00,100000.0
2026-03-12 14:30:00+00:00,100000.0
2026-03-12 14:45:00+00:00,100000.0
2026-03-12 15:00:00+00:00,100000.0
2026-03-12 15:15:00+00:00,100000.0
2026-03-12 15:30:00+00:00,100000.0
2026-03-12 15:45:00+00:00,100000.0
2026-03-12 16:00:00+00:00,100000.0
2026-03-12 16:15:00+00:00,100000.0
2026-03-12 16:30:00+00:00,100000.0
2026-03-12 16:45:00+00:00,100000.0
2026-03-12 17:00:00+00:00,100000.0
2026-03-12 17:15:00+00:00,100000.0
2026-03-12 17:30:00+00:00,100000.0
2026-03-12 17:45:00+00:00,100000.0
2026-03-12 18:00:00+00:00,100000.0
2026-03-12 18:15:00+00:00,100000.0
2026-03-12 18:30:00+00:00,100000.0
2026-03-12 18:45:00+00:00,100000.0
2026-03-12 19:00:00+00:00,100000.0
2026-03-12 19:15:00+00:00,100000.0
2026-03-12 19:30:00+00:00,100000.0
2026-03-12 19:45:00+00:00,100000.0
2026-03-12 20:00:00+00:00,100000.0
2026-03-12 20:15:00+00:00,100000.0
2026-03-12 20:30:00+00:00,104000.0000000001
2026-03-12 20:45:00+00:00,104000.0000000001
2026-03-12 22:00:00+00:00,104000.0000000001
2026-03-12 22:15:00+00:00,101920.0000000001
2026-03-12 22:30:00+00:00,101920.0000000001
2026-03-12 22:45:00+00:00,101920.0000000001
2026-03-12 23:00:00+00:00,101920.0000000001
2026-03-12 23:15:00+00:00,101920.0000000001
2026-03-12 23:30:00+00:00,101920.0000000001
2026-03-12 23:45:00+00:00,101920.0000000001
2026-03-13 00:00:00+00:00,101920.0000000001
2026-03-13 00:15:00+00:00,101920.0000000001
2026-03-13 00:30:00+00:00,101920.0000000001
2026-03-13 00:45:00+00:00,101920.0000000001
2026-03-13 01:00:00+00:00,101920.0000000001
2026-03-13 01:15:00+00:00,101920.0000000001
2026-03-13 01:30:00+00:00,101920.0000000001
2026-03-13 01:45:00+00:00,101920.0000000001
2026-03-13 02:00:00+00:00,99881.6000000001
2026-03-13 02:15:00+00:00,99881.6000000001
2026-03-13 02:30:00+00:00,99881.6000000001
2026-03-13 02:45:00+00:00,99881.6000000001
2026-03-13 03:00:00+00:00,99881.6000000001
2026-03-13 03:15:00+00:00,99881.6000000001
2026-03-13 03:30:00+00:00,99881.6000000001
2026-03-13 03:45:00+00:00,99881.6000000001
2026-03-13 04:00:00+00:00,99881.6000000001
2026-03-13 04:15:00+00:00,99881.6000000001
2026-03-13 04:30:00+00:00,99881.6000000001
2026-03-13 04:45:00+00:00,99881.6000000001
2026-03-13 05:00:00+00:00,99881.6000000001
2026-03-13 05:15:00+00:00,99881.6000000001
2026-03-13 05:30:00+00:00,99881.6000000001
2026-03-13 05:45:00+00:00,99881.6000000001
2026-03-13 06:00:00+00:00,99881.6000000001
2026-03-13 06:15:00+00:00,103876.86399999997
2026-03-13 06:30:00+00:00,103876.86399999997
2026-03-13 06:45:00+00:00,103876.86399999997
2026-03-13 07:00:00+00:00,103876.86399999997
2026-03-13 07:15:00+00:00,103876.86399999997
2026-03-13 07:30:00+00:00,103876.86399999997
2026-03-13 07:45:00+00:00,103876.86399999997
2026-03-13 08:00:00+00:00,108031.93855999997
2026-03-13 08:15:00+00:00,108031.93855999997
2026-03-13 08:30:00+00:00,108031.93855999997
2026-03-13 08:45:00+00:00,108031.93855999997
2026-03-13 09:00:00+00:00,105871.29978879997
2026-03-13 09:15:00+00:00,105871.29978879997
2026-03-13 09:30:00+00:00,105871.29978879997
2026-03-13 09:45:00+00:00,105871.29978879997
2026-03-13 10:00:00+00:00,105871.29978879997
2026-03-13 10:15:00+00:00,105871.29978879997
2026-03-13 10:30:00+00:00,105871.29978879997
2026-03-13 10:45:00+00:00,105871.29978879997
2026-03-13 11:00:00+00:00,105871.29978879997
2026-03-13 11:15:00+00:00,105871.29978879997
2026-03-13 11:30:00+00:00,105871.29978879997
2026-03-13 11:45:00+00:00,105871.29978879997
2026-03-13 12:00:00+00:00,103753.87379302397
2026-03-13 12:15:00+00:00,103753.87379302397
2026-03-13 12:30:00+00:00,103753.87379302397
2026-03-13 12:45:00+00:00,103753.87379302397
2026-03-13 13:00:00+00:00,103753.87379302397
