open_ts,close_ts,side,entry,exit,sl,tp,qty,pnl,r,exit_reason
2026-03-17 13:45:00+00:00,2026-03-17 15:30:00+00:00,SELL,5021.89990234375,4994.4860561522,5038.34821005868,4994.4860561522,121.59305593393297,3333.3333333333703,1.6666666666666852,TP
2026-03-17 15:15:00+00:00,2026-03-18 00:00:00+00:00,SELL,4999.0,5017.156455476556,5017.156455476556,4968.739240872406,113.82544733663161,-2066.6666666666674,-1.0,SL
2026-03-18 10:45:00+00:00,2026-03-18 11:30:00+00:00,SELL,4971.7001953125,4946.33055520689,4986.921979375867,4946.33055520689,133.05492476454103,3375.5555555554765,1.6666666666666268,TP
2026-03-18 11:15:00+00:00,2026-03-18 12:00:00+00:00,SELL,4952.2998046875,4922.029551288881,4970.461956726672,4922.029551288881,115.2310827445246,3488.0740740740375,1.6666666666666499,TP
2026-03-18 11:45:00+00:00,2026-03-18 12:15:00+00:00,SELL,4933.2998046875,4898.460899024675,4954.203148085195,4898.460899024675,103.45741754232604,3604.3432098765725,1.6666666666666812,TP
2026-03-18 12:00:00+00:00,2026-03-18 12:45:00+00:00,SELL,4911.2998046875,4873.985141449252,4933.688602630448,4873.985141449252,99.81298664707057,3724.4879835391534,1.6666666666666938,TP
2026-03-18 12:30:00+00:00,2026-03-18 13:15:00+00:00,SELL,4880.7998046875,4840.379253221868,4905.052135566879,4840.379253221868,95.2148707387824,3848.637582990485,1.666666666666704,TP
2026-03-18 13:00:00+00:00,2026-03-18 13:30:00+00:00,SELL,4861.60009765625,4888.237515807667,4888.237515807667,4817.204400737223,89.57907586577244,-2386.1553014540486,-1.0,SL
2026-03-18 13:15:00+00:00,2026-03-18 14:00:00+00:00,SELL,4864.2001953125,4892.342062669619,4892.342062669619,4817.297083050636,83.0944217649236,-2338.4321954249676,-1.0,SL
2026-03-18 14:15:00+00:00,2026-03-18 16:45:00+00:00,SELL,4863.7998046875,4894.739012052644,4894.739012052644,4812.234459078925,74.06988564607597,-2291.6635515164685,-1.0,SL
2026-03-18 16:30:00+00:00,2026-03-18 19:45:00+00:00,SELL,4886.60009765625,4846.3561554214775,4910.746462997114,4846.3561554214775,93.00904085491693,3743.0504674768704,1.666666666666654,TP
2026-03-18 19:45:00+00:00,2026-03-18 22:15:00+00:00,SELL,4846.7998046875,4807.317821399487,4870.488994660308,4807.317821399487,97.9641470434202,3867.8188163927643,1.6666666666666539,TP
2026-03-18 22:00:00+00:00,2026-03-19 00:00:00+00:00,SELL,4821.10009765625,4846.010921969165,4846.010921969165,4779.582057134726,96.26528757301207,-2398.047666163532,-1.0,SL
2026-03-18 23:45:00+00:00,2026-03-19 01:30:00+00:00,SELL,4839.2001953125,4861.760645106996,4861.760645106996,4801.599445655006,104.16843344203208,-2350.086712840261,-1.0,SL
2026-03-19 02:00:00+00:00,2026-03-19 06:30:00+00:00,SELL,4850.2998046875,4813.40321815077,4872.437756609538,4813.40321815077,104.03333545461147,3838.474964305729,1.666666666666653,TP
2026-03-19 06:45:00+00:00,2026-03-19 08:00:00+00:00,SELL,4765.2001953125,4726.120733502151,4788.647872398709,4726.120733502151,101.49638572382409,3966.4241297826484,1.6666666666666796,TP
2026-03-19 07:45:00+00:00,2026-03-19 10:15:00+00:00,SELL,4729.60009765625,4682.487087957386,4757.867903475569,4682.487087957386,86.99589123343189,4098.63826744196,1.6666666666666345,TP
2026-03-19 10:15:00+00:00,2026-03-19 12:00:00+00:00,SELL,4685.60009765625,4625.1407053852945,4721.875733018823,4625.1407053852945,70.05130855504987,4235.2595430235015,1.6666666666666918,TP
2026-03-19 11:45:00+00:00,2026-03-19 12:30:00+00:00,SELL,4654.39990234375,4593.962268377845,4690.662482723293,4593.962268377845,72.41241216678276,4376.434861124244,1.666666666666675,TP
2026-03-19 12:15:00+00:00,2026-03-19 12:45:00+00:00,SELL,4608.5,4543.720834245438,4647.367499452737,4543.720834245438,69.81127296847293,4522.316023161696,1.6666666666666665,TP
2026-03-19 12:30:00+00:00,2026-03-19 13:45:00+00:00,SELL,4565.2001953125,4607.612873375756,4607.612873375756,4494.512398540407,66.10843885355457,-2803.8359343602515,-1.0,SL
2026-03-19 13:45:00+00:00,2026-03-20 01:30:00+00:00,SELL,4624.0,4682.004420679765,4682.004420679765,4527.325965533726,47.371548297035616,-2747.7592156730466,-1.0,SL
2026-03-20 13:45:00+00:00,2026-03-20 14:15:00+00:00,SELL,4617.0,4563.214158352402,4649.271504988559,4563.214158352402,83.44215840922921,4488.006718932616,1.6666666666666572,TP
2026-03-20 14:00:00+00:00,2026-03-20 18:30:00+00:00,SELL,4587.7001953125,4531.059770925444,4621.684449944733,4531.059770925444,81.87804016448933,4637.606942897063,1.6666666666666665,TP
2026-03-20 18:15:00+00:00,2026-03-20 18:45:00+00:00,SELL,4557.0,4497.55755154655,4592.66546907207,4497.55755154655,80.6190519683334,4792.19384099368,1.6666666666666836,TP
2026-03-20 18:30:00+00:00,2026-03-22 23:45:00+00:00,SELL,4528.39990234375,4467.25694937135,4565.08567412719,4467.25694937135,80.98944187286351,4951.933635693421,1.6666666666666665,TP
2026-03-22 23:30:00+00:00,2026-03-23 00:00:00+00:00,SELL,4489.39990234375,4432.369672753301,4523.61804009802,4432.369672753301,89.72431159690397,5116.998090216453,1.66666666666664,TP
2026-03-22 23:45:00+00:00,2026-03-23 00:30:00+00:00,SELL,4465.89990234375,4405.586170039895,4502.088141726063,4405.586170039895,87.66767519186881,5287.564693223723,1.6666666666666583,TP
2026-03-23 00:15:00+00:00,2026-03-23 00:45:00+00:00,SELL,4428.7998046875,4361.545903382214,4469.152145470671,4361.545903382214,81.24163421929555,5463.816849664615,1.6666666666666894,TP
2026-03-23 00:30:00+00:00,2026-03-23 01:00:00+00:00,SELL,4365.5,4414.337898333257,4414.337898333257,4284.103502777904,69.36347718479131,-3387.5664467920164,-1.0,SL
2026-03-23 00:45:00+00:00,2026-03-23 01:15:00+00:00,SELL,4356.39990234375,4407.438675544944,4407.438675544944,4271.33528034176,65.04496306699055,-3319.8151178561766,-1.0,SL
2026-03-23 01:45:00+00:00,2026-03-23 06:00:00+00:00,SELL,4390.0,4291.383162580095,4449.1701024519425,4291.383162580095,54.9841673527852,5422.364692498471,1.666666666666682,TP
2026-03-23 05:45:00+00:00,2026-03-23 06:30:00+00:00,SELL,4314.10009765625,4241.390135341926,4357.726075044844,4241.390135341926,77.06110695019015,5603.110182248417,1.6666666666666805,TP
2026-03-23 06:15:00+00:00,2026-03-23 06:45:00+00:00,SELL,4248.39990234375,4166.340002001616,4297.635842549031,4166.340002001616,70.55675789900728,5789.880521656607,1.6666666666666543,TP
2026-03-23 06:30:00+00:00,2026-03-23 08:00:00+00:00,SELL,4187.0,4240.090494978564,4240.090494978564,4098.515841702393,67.61522801542066,-3589.725923427122,-1.0,SL
2026-03-23 08:45:00+00:00,2026-03-23 11:00:00+00:00,SELL,4251.7001953125,4322.902598822667,4322.902598822667,4133.029522795555,49.4074810895431,-3517.93140495858,-1.0,SL
2026-03-23 11:45:00+00:00,2026-03-23 12:45:00+00:00,SELL,4379.2001953125,4464.007088054272,4464.007088054272,4237.8553740762145,40.65203505753849,-3447.5727768594083,-1.0,SL
2026-03-23 13:00:00+00:00,2026-03-24 02:00:00+00:00,SELL,4448.60009765625,4306.677955560521,4533.753382913687,4306.677955560521,39.67693449651291,5631.035535537045,1.66666666666667,TP
2026-03-26 07:00:00+00:00,2026-03-26 14:30:00+00:00,SELL,4443.60009765625,4469.701584389057,4469.701584389057,4400.097619768239,133.7564433693675,-3491.242032032961,-1.0,SL
2026-03-26 14:45:00+00:00,2026-03-26 16:15:00+00:00,SELL,4461.89990234375,4412.4655135177145,4491.560535639372,4412.4655135177145,115.3521287725624,5702.361985653767,1.6666666666666463,TP
2026-03-26 16:00:00+00:00,2026-03-26 16:30:00+00:00,SELL,4436.0,4389.7354088320035,4463.758754700798,4389.7354088320035,127.36394226660867,5892.440718508961,1.6666666666666665,TP
2026-03-26 16:15:00+00:00,2026-03-27 02:00:00+00:00,SELL,4392.2998046875,4424.011495017929,4424.011495017929,4339.44698747012,115.20398967727239,-3653.3132454755564,-1.0,SL
