ema_fast,ema_slow,atr_min,k_sl,k_tp,atr_pct_min,min_trend_strength,trades,win_rate,avg_r,total_return_pct,max_dd_pct,profit_factor,score
50,200,10.0,1.5,2.5,0.5,0.0,140,44.285714285714285,0.1809523809523823,57.957819192214274,17.257760422521034,1.2488774716605655,148.72749177929208
50,200,10.0,2.0,3.0,0.5,0.0,106,46.22641509433962,0.1556603773584905,34.55824837667099,12.892302114332097,1.2323901268278767,123.91145663716416
50,200,10.0,2.0,2.5,0.5,0.005,87,50.57471264367817,0.13793103448275715,24.328682649348664,10.012526532554023,1.2350414230429807,122.88767774942312
50,200,10.0,1.0,3.0,0.5,0.0,161,30.434782608695656,0.21739130434782586,80.84557033290882,20.67260334043252,1.2403221998263947,119.02310112755323
50,200,10.0,2.0,4.0,0.5,0.0,86,40.69767441860465,0.22093023255814118,40.83050472851091,14.923697741821448,1.3002623741391186,111.34684020914928
50,200,10.0,1.5,2.5,0.3,0.0,160,43.125,0.15000000000000158,52.81401517569337,20.744188161923745,1.2015093654480475,109.79481995985518
50,200,10.0,1.5,2.5,0.0,0.0,170,42.94117647058823,0.1450980392156879,54.341031185653854,21.942201246276337,1.190155548251898,106.34611284193274
50,200,5.0,1.5,2.5,0.3,0.0,203,42.364532019704434,0.1297208538587854,57.80785614290767,23.146442086328413,1.1647949380836362,105.80471778006859
50,200,10.0,2.0,2.5,0.5,0.0,126,50.0,0.12499999999999951,32.692473050094215,15.49459169292785,1.1969414011335218,105.49640060865863
50,200,10.0,1.5,3.0,0.5,0.0,129,38.759689922480625,0.16279069767441845,44.054538228099524,19.159279959629902,1.202573341274808,89.12340364549853
50,200,10.0,1.5,4.0,0.5,0.0,106,33.0188679245283,0.21069182389937166,46.843710751021696,18.292719311245328,1.2345438438321936,84.5542027987032
50,200,5.0,1.0,3.0,0.5,0.0,190,29.47368421052631,0.17894736842105155,74.3502593042293,26.033035125485032,1.1727375058795506,84.17674132657521
50,200,5.0,1.5,2.5,0.5,0.0,160,42.5,0.13333333333333494,44.92684019888324,23.122105433413605,1.1594616892605618,82.57858325017797
50,200,10.0,1.5,2.5,0.5,0.005,99,42.42424242424242,0.1313131313131333,25.309719340739157,14.073560563846607,1.1801605333758893,76.29523915642122
50,200,5.0,1.5,2.5,0.0,0.0,250,41.199999999999996,0.09866666666666642,50.31362746532888,27.497495985522356,1.1116198174213396,75.38582613714931
50,200,5.0,1.5,4.0,0.0,0.0,173,31.79190751445087,0.16570327552986455,60.61920283682083,26.35228806061078,1.1554722209347177,73.13217303011214
50,200,5.0,1.5,3.0,0.5,0.0,148,37.83783783783784,0.13513513513513548,40.17351518319501,20.95862327845332,1.152231654721025,72.52761465684524
